Sample.Name,Group,CA,a.MCA,b.MCA,w.MCA,DCA,UDCA,HDCA,CDCA,TUDCA,TCDCA.1,TDCA,TCA,T.b.MCA,T.a.MCA,GCDCA,GDCA,LCA,GCA.2,Part
NAFLD_ILEUM_10,NC,0.961494595,0.094878854,1.348132859,0.152472213,0.192927376,0.244868764,0.029233417,0,0.031248536,0.065681649,0.036121683,0.439474901,0.130565201,0.153957964,0.023951384,0.008996433,0,0.01447118,ILEUM
NAFLD_ILEUM_181,NC,0.261981972,0.066719336,2.617727014,0.017431843,0.013123063,0.040927093,0.026127291,0,0.113008611,0.002168716,0.017574402,0.122138424,0.132472565,0.153460624,0.006100486,0.007274751,0.445180614,0,ILEUM
NAFLD_ILEUM_182,NC,1.455578152,0.656189518,0.34259103,0.022901636,0,0.004263303,0.001636502,0,0.016438874,0.024963856,0.099119137,0.134491805,3.819779054,0.215440973,0.012545444,0.006425581,0,0.006408446,ILEUM
NAFLD_ILEUM_184,NC,0.897607467,0.315935294,1.871167659,0.035871791,0.115944598,0.07978739,0.009803875,0,0.028149808,0.012007728,0.043184063,0.725852178,0.050185719,0.005227743,0.020111498,0.00785563,0.030794254,0.007703985,ILEUM
NAFLD_ILEUM_185,NC,0.198664035,0.095774668,0.457199949,0.185639614,0,0.064867999,0.006477277,0,0.031043175,0.012551894,0.040058252,0.180817362,0.602535975,0.467232112,0.003825583,0.004782602,0.180752317,0,ILEUM
NAFLD_ILEUM_187,NC,1.250978911,0.263977097,0.564524066,0.230339626,0.293426126,0.024306482,0.000682983,0,0.131668701,0.011820387,0.111183376,0.049770181,0.050639311,0.249764991,0.005214065,0.002534492,0,0.006394869,ILEUM
NAFLD_ILEUM_11,MCD,1.644456931,0.040432877,0.503071163,0.013217363,0.147223434,0,0.003613925,0,0.005671195,0.022161953,0.092598125,0.875011406,0.421629942,0.027747032,0.007606809,0,0.009301505,0,ILEUM
NAFLD_ILEUM_13,MCD,0.517844437,0,0.3148289,0.277482553,0.137161163,0.030317284,0.001637395,0,0.05727888,0.139885183,0.024645142,1.97741148,0.224761466,0.037969389,0.007603277,0.003430791,0,0,ILEUM
NAFLD_ILEUM_18,MCD,0.396377168,0.081115929,0.101296832,0.019300651,0.019699782,0,0.012401883,0,1.609473599,0.013913802,0.174498443,3.027268835,0.326203505,0.557632344,0.013060222,0.004642006,0.029845663,0.015771483,ILEUM
NAFLD_ILEUM_189,MCD,0.698521715,0.095948497,0.452333487,0.007064624,0.008389418,0,0.005970729,0.005566614,0.782034447,0.156943243,0.115061032,5.672559847,0.274929313,0.614970589,0.007682864,0,0,0,ILEUM
NAFLD_ILEUM_A88,MCD,0.13561498,0.030876932,0.10431915,0.01173251,0.018836751,0,0.013381413,0,0.159073048,0.056478488,0.038518334,0.361789357,0.353219452,1.037216314,0.014943195,0.002933792,0,0,ILEUM
NAFLD_ILEUM_A96,MCD,0.183009114,0.044017192,0.483395143,0.006733949,0.006922636,0,0.001134154,0.013995354,0.130953514,0.035481331,0.041152858,0.171122199,0.164445625,0.03792213,0.003357391,0,0.027088985,0,ILEUM
NAFLD_ILEUM_A98,MCD,0.052537057,0.014364993,0.064784544,0.037174515,0.009352681,0.012395096,0.035197601,0.013028235,0.02389586,0.01726393,0.09917593,0.204725472,0.185935744,0.326070141,0.014049997,0,0,0,ILEUM
NAFLD_ILEUM_A99,MCD,0.045791268,0.015337043,0.021879018,0.09335805,0.177758301,0.009501417,0.020017853,0,0.01977669,0.025951575,0.055071121,0.931071586,0.109013215,0.039138805,0.017075437,0.002705336,0.034345347,0,ILEUM
NAFLD_ILEUM_21,3_5,0.303029416,0.164220648,0.142773571,0.024796914,0.012122089,0.038587285,0.065799959,0.312712242,0.024300013,0.012940323,0.367238808,0.352434485,0.063594768,0.36996069,0.023846327,0,0.09919087,0,ILEUM
NAFLD_ILEUM_49,3_5,0.10063897,0.022478443,0.121783245,0.031889842,0.169149172,0,0.03718605,0.008390183,0.043582402,0.017134112,1.365858291,10.25307579,0.648595399,0.056911001,0.002559043,0,0.904632639,0,ILEUM
NAFLD_ILEUM_22,3_5,1.400443597,0.061167803,0.207670438,0.048877203,0.027202719,0,0.004013776,0,0.123672747,1.257111541,0.819862282,0.350194574,0.113893837,0.087411704,0.006417205,0,0.3259521,0.002604951,ILEUM
NAFLD_ILEUM_23,3_5,0.072358905,0.0172509,0.333067865,0.555379208,0.010693065,0,0.005762152,0,0.049603143,0.318443218,0.011977392,2.546421068,0.092898366,0.421967912,0.014890946,0,0.003424653,0,ILEUM
NAFLD_ILEUM_50,3_5,0.111999907,0,0.095050354,0.020456327,0.049779323,0,0.003655254,0,0.213497914,0.542216882,0.61672064,4.639564636,0.052506954,0.62434395,0.015965109,0,0.084429411,0.010087251,ILEUM
NAFLD_ILEUM_24,3_5,0.133708836,0.03785251,0.289471621,0.344966655,0.00695876,0,0.007606224,0,0.103052508,0.184457187,0.221668344,0.016876629,0.562840553,1.295476761,0.004206787,0,0,0.004088223,ILEUM
NAFLD_ILEUM_194,3_5,0.172949505,0.184703799,0.046759339,0.143132175,0.007953667,0,0.007705435,0,0.005411006,0.011789034,0.412010507,4.287778907,0.567340961,0.329991023,0.018707871,0,0,0,ILEUM
NAFLD_ILEUM_48,3_5,0.115628105,0.152539368,0.331895058,0.064075019,0.088690482,0,0.002581664,0.005809783,0.04752307,0.113369483,0.332203258,1.223452136,0.268992044,0.459008604,0.025265943,0,0.408732283,0,ILEUM
NAFLD_Liver_1,NC,0.035703865,0.120355328,4.680535746,0.086065431,0.012104018,0.006838908,0.004562628,0.010913054,1.499350842,0.219682212,0.077100318,1.663892387,0.520601992,0.147566428,0.001222338,0.000378077,0,0.004249038,Liver
NAFLD_Liver_2,NC,0.533713276,0.057446584,0.60904531,0.151421132,0.005539919,0.004250374,0.11647345,0.014881639,0.063944084,0.028295516,1.365858291,4.098078577,0.935591584,0.035783516,0.005496574,0.001005019,0.003687447,0.004321873,Liver
NAFLD_Liver_10,NC,0.667796522,0.007922771,0.296932699,0.150544107,0.023183913,0.023633877,0.009335214,0.001185529,0.098336459,0.366981171,0.004327799,0.277375146,3.819779054,0.036052212,0.000205524,0.002975963,0.003818322,0.002570956,Liver
NAFLD_Liver_181,NC,0.048958142,0.70920988,0.250661654,0.053347907,0.014157318,0.025160205,0.169593859,0.002884638,0.161841167,0.237211791,0.049540848,1.635422288,0.155857951,0.892026423,0.00066216,0.00357337,0.024094495,0.004181852,Liver
NAFLD_Liver_182,NC,0.095367241,0.055886043,1.255324605,0.021440154,0.016469111,0.018451475,0.017506649,0,0.35660372,1.12284089,0.097365502,8.11067753,0.856891972,0.478690791,0.003649475,0.000174254,0.005216844,0.002366653,Liver
NAFLD_Liver_184,NC,0.034001586,0.101229683,3.936567587,0.01944056,0.00983395,0.013545862,0.22505548,0.006932577,1.852269145,0.272093848,0.255369623,0.213469593,0.123217122,0.743191309,0,0.004140769,0.004187121,0.003171911,Liver
NAFLD_Liver_185,NC,0.355466413,0.027759794,0.212288817,0.362944137,0.012581441,0.004155989,0.056105837,0.005106424,0.109792444,0.099782958,0.047325209,0.28397595,1.189239634,0.409651111,0.00191252,0.000847474,0.004908178,0.000444352,Liver
NAFLD_Liver_187,NC,0.160066177,0.126567514,0.201032889,0.246460272,0,0.019114256,0.055796293,0.010224756,0.346595245,0.031082854,0.371736241,2.080985544,0.092195972,1.735297353,0.001434233,0.00778354,0.010051922,0.001890349,Liver
NAFLD_Liver_11,MCD,0.267932165,0.029115814,0.326153987,0.087677663,0.006270479,0.012277653,0.013104561,0.02094913,0.502581118,1.417626701,0.008020699,0.931006776,2.275449462,0.710702317,0.000284639,0.000313142,0.000252186,0.006870222,Liver
NAFLD_Liver_13,MCD,0.10437034,0.028152507,0.356506359,0.028467866,0.129337094,0.017967283,0.009146597,0,1.369528621,0.816060253,1.156914788,1.354553363,0.084847905,0.271066316,0.001724353,0.000421088,0.002979954,0.01199786,Liver
NAFLD_Liver_18,MCD,0.07350972,0.161829247,0.122752574,0.119139598,0.058167025,0.009283556,0.001596136,0.00711951,0.371288538,0.147239797,0.403055895,0.65314045,0.700181391,0.729689203,0.001193084,0.000250098,0.000064348,0.001944606,Liver
NAFLD_Liver_189,MCD,0.02620245,0.197953168,0.888304279,0.037906609,0.031131211,0.006904816,0.006070931,0.009859453,1.382098641,0.03958734,0.833892571,3.698328162,0.47229218,0.726426613,0.000599128,0.000492663,0.000190288,0.002365154,Liver
NAFLD_Liver_A88,MCD,0.058183929,0.010447607,1.187509374,0.046373923,0.0041793,0.023413712,0.041478456,0,0.14365669,0.336889105,0.154816788,0.445413908,0.668930032,0.893931656,0.00089104,0.000251442,0.002823869,0,Liver
NAFLD_Liver_A96,MCD,0.084906469,0.041032886,0.231739737,0.028211333,0.038406637,0.009911504,0.014272549,0.004900011,1.203638143,0.139681596,0.388136309,7.204110828,0.059732456,0.164768201,0.000187036,0.000318609,0.00210151,0.00342667,Liver
NAFLD_Liver_A98,MCD,0.040304599,0.04615922,0.299386816,0.012451664,0.042873647,0.003415756,0.001071641,0.00384181,0.144194991,0.342271832,0.169787162,5.876733076,0.983479194,0.123278392,0.000590473,0.000386192,0.001984561,0.002552384,Liver
NAFLD_Liver_A99,MCD,0.068846949,0.392707443,0.091659081,0.255217271,0.308181697,0.013409336,0.002734109,0.059190169,0.471809782,0.031271712,0.234032001,10.25307579,3.819779054,0.151054526,0.000107337,0.000500219,0.000480253,0.018177886,Liver
NAFLD_Liver_21,3_5,0.071489418,0.910212738,1.793667208,0.039479309,0,0.008516726,0.011357331,0.153160199,0.049811502,0.17452105,0.210632628,10.25307579,0.093461145,0.080056602,0,0,0.000542176,0,Liver
NAFLD_Liver_49,3_5,0.032037027,0.022051243,0.279790145,0.026012272,0.183271422,0.02109377,0.010716836,0,0.168264271,0.041319856,0.111815394,0.10543999,2.084877385,0.352414128,0.00024624,0,0.043697593,0.003648134,Liver
NAFLD_Liver_22,3_5,0.04389305,0.038949739,1.26144507,0.027909059,0.006632263,0.00980141,0.006539228,0,0.575483538,1.491498307,0.176210688,0.230719409,0.17269525,0.212602011,0,0.004546582,0.029823661,0.003878114,Liver
NAFLD_Liver_23,3_5,0.064773212,0.052177476,0.192989521,0.030090206,0.306138547,0.003504202,0.018598249,0.002317366,1.017750989,0.487861802,0.269067757,1.051369442,1.476355529,0.308405013,0.002694668,0.001050864,0.000613577,0,Liver
NAFLD_Liver_50,3_5,0.031293513,0.052825823,1.001115601,0.097379437,0.177768232,0.007291513,0.009468856,0.003794239,0.055827771,0.486483219,0.181657901,0.636520999,0.230447784,0.225312517,0.000629945,0,0.003987118,0,Liver
NAFLD_Liver_24,3_5,0.033622768,0.216853813,0.831485199,0.013684425,0.054157159,0,0.008614922,0.011935543,0.232803441,1.227136073,0.127848369,1.798256502,0.113813631,0.080915848,0.00144777,0.000333929,0.008746508,0.004708159,Liver
NAFLD_Liver_194,3_5,0.098288544,0.06600866,0.15484406,0.013189054,0.002737678,0.009908219,0.007040088,0,0.217183907,0.412025256,1.365858291,2.772570453,0.094288192,0.160128881,0.000557366,0.001282124,0.000995281,0.00326299,Liver
NAFLD_Liver_48,3_5,0.043633832,0.244062322,0.694979154,0.136258998,0,0.035691297,0.023191796,0,1.923800249,0.363789341,0.024020342,0.690712829,0.010258926,0.160796904,0.0012698,0.000206186,0.011032789,0,Liver
NAFLD_Plasma_1,NC,0.28514761,0.1595156,0.387796967,0.072111241,0.100576453,0.027736192,0.025332852,0.113420204,0.062872528,0.048192473,0.132973412,0.235100951,0.038922798,0.214336728,0.00124927,0.000710468,0,0.003258442,Plasma
NAFLD_Plasma_2,NC,0.127670733,0.123680689,0.519103822,2.258975406,0.07328272,0.060136297,0.02488493,0.006927643,0.056140256,0.146188661,0.008714259,0.041227098,0.538987223,0.653122063,0.000705681,0.000229104,0.011412587,0.00479359,Plasma
NAFLD_Plasma_10,NC,0.333367624,0.013702283,0.303931501,0.198767667,0.532733418,0.049344994,0.068047442,0.114657363,0.066253522,0.002411815,0.011600313,0.177084847,0.110836257,0.103389333,0.000498504,0.00191397,0.002952158,0.008259626,Plasma
NAFLD_Plasma_181,NC,0.422472504,0.033689298,0.599334057,0.160082359,0.663133378,0.011366242,0.010317981,0.024141749,0.135344739,0.022166982,0.01691876,0.099684098,0.431434274,0.027243202,0.001479824,0.000062714,0,0.002613846,Plasma
NAFLD_Plasma_182,NC,0.597338508,0.014317135,0.405609692,0.109546322,0.389512307,0.020808676,0.031937791,0.052726132,0.039909043,0.01142739,0.024450233,0.192735898,0.132154187,0.445956336,0.000552155,0.000340952,0.0066978,0.012073611,Plasma
NAFLD_Plasma_184,NC,0.101914199,0.103062802,0.429930881,0.198099934,0.022188232,0.01716603,0.049673202,0.018865246,0.019042097,0.043163487,0.246319552,0.225148773,0.277787998,0.133791067,0.000294566,0.000366756,0.00256231,0.002958986,Plasma
NAFLD_Plasma_185,NC,0.590854432,0.767509326,0.099915051,0.307325875,0.225506736,0.233763502,0.025112161,0.017781012,0.010670544,0.017509494,0.053982097,0.779656457,0.041132213,0.64268629,0.000372141,0.000776697,0.000693267,0.006617786,Plasma
NAFLD_Plasma_187,NC,0.459107541,0.013518064,0.36782276,0.378434599,0.215576725,0.068644935,0.000761505,0.015716909,0.199809942,0.029899807,0.319843802,0.170046835,0.118208802,1.228034664,0.000744137,0.0000398,0,0.006244717,Plasma
NAFLD_Plasma_11,MCD,1.030941614,0.022914048,2.048967853,0.264677387,0.677798465,0.045687348,0.061252531,0.057572144,0.074325223,0.018523716,0.060503584,3.668141261,0.266624666,0.434528747,0.002341049,0.000389781,0.000966753,0.003694461,Plasma
NAFLD_Plasma_13,MCD,1.387779707,0.033665912,2.608306742,0.09263149,2.152213027,0.020665947,0.076717718,0.00742999,0.023766125,0.050616474,0.245400008,0.095488699,0.162616879,1.735297353,0.000052307,0.000239215,0.001698069,0.000414496,Plasma
NAFLD_Plasma_18,MCD,0.228603486,0.158925731,0.674677143,0.787889996,0.313482075,0.00940064,0.036973264,0.033409528,0.079269905,0.020162532,0.238509453,0.100732414,0.013290485,0.048838071,0.000654048,0.00019249,0.001623271,0.001908872,Plasma
NAFLD_Plasma_189,MCD,0.129400095,0.648519975,1.191617926,1.828827565,0.557799213,0.044439351,0.004094724,0.000770435,0.110190361,0.094116202,1.28797865,0.164366964,0.09331821,0.655548452,0.000528373,0.000477566,0.007458028,0.003800349,Plasma
NAFLD_Plasma_A88,MCD,0.7223261,0.056863839,1.700451675,0.252594965,0.264411554,0.017063543,0.091767399,0.022396818,0.071184232,0.077222673,0.039531303,0.375424204,0.105428097,0.192702399,0.00025171,0.000724285,0.003805944,0.004411612,Plasma
NAFLD_Plasma_A96,MCD,0.157145209,0.089211204,0.469539986,0.362801812,0.112838861,0.04277901,0.028968377,0.092590088,0.040737889,0.044547138,0.065269227,0.386392697,0.14810894,0.13439856,0.00121495,0.001073262,0.000260027,0.000995234,Plasma
