Sample_ID,Group,Part,Treatment_detail,Animal_ID,Replicate_Set,Batch,Notes
NAFLD_ILEUM_11,MCD,Ileum,MCD,11,,,
NAFLD_ILEUM_13,MCD,Ileum,MCD,13,,,
NAFLD_ILEUM_18,MCD,Ileum,MCD,18,,,
NAFLD_ILEUM_189,MCD,Ileum,MCD,189,,,
NAFLD_ILEUM_A88,MCD,Ileum,MCD,A88,,,
NAFLD_ILEUM_A96,MCD,Ileum,MCD,A96,,,
NAFLD_ILEUM_A98,MCD,Ileum,MCD,A98,,,
NAFLD_ILEUM_A99,MCD,Ileum,MCD,A99,,,
NAFLD_ILEUM_21,3_5,Ileum,3_5,21,,,
NAFLD_ILEUM_49,3_5,Ileum,3_5,49,,,
NAFLD_ILEUM_22,3_5,Ileum,3_5,22,,,
NAFLD_ILEUM_23,3_5,Ileum,3_5,23,,,
NAFLD_ILEUM_50,3_5,Ileum,3_5,50,,,
NAFLD_ILEUM_24,3_5,Ileum,3_5,24,,,
NAFLD_ILEUM_194,3_5,Ileum,3_5,194,,,
NAFLD_ILEUM_48,3_5,Ileum,3_5,48,,,
NAFLD_Liver_1,NC,Liver,NC,1,,,
NAFLD_Liver_2,NC,Liver,NC,2,,,
NAFLD_Liver_10,NC,Liver,NC,10,,,
NAFLD_Liver_181,NC,Liver,NC,181,,,
NAFLD_Liver_182,NC,Liver,NC,182,,,
NAFLD_Liver_184,NC,Liver,NC,184,,,
NAFLD_Liver_185,NC,Liver,NC,185,,,
NAFLD_Liver_187,NC,Liver,NC,187,,,
NAFLD_Liver_11,MCD,Liver,MCD,11,,,
NAFLD_Liver_13,MCD,Liver,MCD,13,,,
NAFLD_Liver_18,MCD,Liver,MCD,18,,,
NAFLD_Liver_189,MCD,Liver,MCD,189,,,
NAFLD_Liver_A88,MCD,Liver,MCD,A88,,,
NAFLD_Liver_A96,MCD,Liver,MCD,A96,,,
NAFLD_Liver_A98,MCD,Liver,MCD,A98,,,
NAFLD_Liver_A99,MCD,Liver,MCD,A99,,,
NAFLD_Liver_21,3_5,Liver,3_5,21,,,
NAFLD_Liver_49,3_5,Liver,3_5,49,,,
NAFLD_Liver_22,3_5,Liver,3_5,22,,,
NAFLD_Liver_23,3_5,Liver,3_5,23,,,
NAFLD_Liver_50,3_5,Liver,3_5,50,,,
NAFLD_Liver_24,3_5,Liver,3_5,24,,,
NAFLD_Liver_194,3_5,Liver,3_5,194,,,
NAFLD_Liver_48,3_5,Liver,3_5,48,,,
NAFLD_Plasma_1,NC,Plasma,NC,1,,,
NAFLD_Plasma_2,NC,Plasma,NC,2,,,
NAFLD_Plasma_10,NC,Plasma,NC,10,,,
NAFLD_Plasma_181,NC,Plasma,NC,181,,,
NAFLD_Plasma_182,NC,Plasma,NC,182,,,
NAFLD_Plasma_184,NC,Plasma,NC,184,,,
NAFLD_Plasma_185,NC,Plasma,NC,185,,,
NAFLD_Plasma_187,NC,Plasma,NC,187,,,
NAFLD_Plasma_11,MCD,Plasma,MCD,11,,,
NAFLD_Plasma_13,MCD,Plasma,MCD,13,,,
NAFLD_Plasma_18,MCD,Plasma,MCD,18,,,
NAFLD_Plasma_189,MCD,Plasma,MCD,189,,,
NAFLD_Plasma_A88,MCD,Plasma,MCD,A88,,,
NAFLD_Plasma_A96,MCD,Plasma,MCD,A96,,,
NAFLD_Plasma_A98,MCD,Plasma,MCD,A98,,,
NAFLD_Plasma_A99,MCD,Plasma,MCD,A99,,,
NAFLD_Plasma_21,3_5,Plasma,3_5,21,,,
NAFLD_Plasma_49,3_5,Plasma,3_5,49,,,
NAFLD_Plasma_22,3_5,Plasma,3_5,22,,,
NAFLD_Plasma_23,3_5,Plasma,3_5,23,,,
NAFLD_Plasma_50,3_5,Plasma,3_5,50,,,
NAFLD_Plasma_24,3_5,Plasma,3_5,24,,,
NAFLD_Plasma_194,3_5,Plasma,3_5,194,,,
NAFLD_Plasma_48,3_5,Plasma,3_5,48,,,
